location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
Cayman Islands,03/01/2014 12:00:00 AM,0.05,0,0.14,0
Cuba,03/01/2014 12:00:00 AM,0.06,0,0.19,0
Dallas,03/01/2014 12:00:00 AM,0.03,0,0.44,0
Dayton,03/01/2014 12:00:00 AM,0,0,0,0
Washington DC,03/01/2014 12:00:00 AM,0,0,0,0
Denver,03/01/2014 12:00:00 AM,0,0,0,0
Dominica,03/01/2014 12:00:00 AM,1,1,1,1
Des Moines,03/01/2014 12:00:00 AM,0,0,0,0
Detroit,03/01/2014 12:00:00 AM,0,0,0,0
BVI,03/01/2014 12:00:00 AM,1,1,1,1
El Paso,03/01/2014 12:00:00 AM,0,0,0,0
New York,03/01/2014 12:00:00 AM,0.01,0,0,0
Martinique,03/01/2014 12:00:00 AM,1,1,1,1
Fortaleza,03/01/2014 12:00:00 AM,0,0,0,0
Turks & Caicos,03/01/2014 12:00:00 AM,0.03,0,0.08,0
Grenada,03/01/2014 12:00:00 AM,0.1,0.01,0.24,0
Grand Rapids,03/01/2014 12:00:00 AM,0,0,0,0
Greensboro,03/01/2014 12:00:00 AM,0,0,0,0
"Greenville, SC, US",03/01/2014 12:00:00 AM,0,0,0,0
Guayaquil,03/01/2014 12:00:00 AM,0,0,0.01,0
Goiania,03/01/2014 12:00:00 AM,0,0,0.01,0
Huntsville,03/01/2014 12:00:00 AM,0,0,0,0
Wichita,03/01/2014 12:00:00 AM,0,0,0,0
Indianapolis,03/01/2014 12:00:00 AM,0,0,0,0
Jackson,03/01/2014 12:00:00 AM,0,0,0.01,0
Jamaica,03/01/2014 12:00:00 AM,0.71,0.1,0.98,0
Las Vegas,03/01/2014 12:00:00 AM,0,0,0,0
Lubbock,03/01/2014 12:00:00 AM,0,0,0.01,0
Lexington,03/01/2014 12:00:00 AM,0,0,0,0
Lima,03/01/2014 12:00:00 AM,0.01,0,0.05,0
Little Rock,03/01/2014 12:00:00 AM,0,0,0.01,0
Odessa,03/01/2014 12:00:00 AM,0,0,0.01,0
Manaus,03/01/2014 12:00:00 AM,0,0,0,0
Kansas City,03/01/2014 12:00:00 AM,0,0,0,0
Chicago,03/01/2014 12:00:00 AM,0,0,0,0
Managua,03/01/2014 12:00:00 AM,0.06,0.01,0.15,0
Miami,03/01/2014 12:00:00 AM,0.85,0,1,0
Milwaukee,03/01/2014 12:00:00 AM,0,0,0,0
Monroe,03/01/2014 12:00:00 AM,0,0,0,0
Montserrat,03/01/2014 12:00:00 AM,0,0,0,0
Minneapolis,03/01/2014 12:00:00 AM,0,0,0,0
New Orleans,03/01/2014 12:00:00 AM,0.02,0,0.24,0
Maturin,03/01/2014 12:00:00 AM,0,0,0,0
Myrtle Beach,03/01/2014 12:00:00 AM,0.01,0,0.08,0
St. Kitts & Nevis,03/01/2014 12:00:00 AM,1,1,1,1
Oklahoma City,03/01/2014 12:00:00 AM,0,0,0.01,0
Omaha,03/01/2014 12:00:00 AM,0,0,0,0
